AX AY AZ AT GX GY GZ GT TS
-0.1 -0.13 -2.04 -2.26 14.77 11.35 9.52 35.64 1655503797.814191
-0.1 -0.13 -2.04 -2.28 14.53 9.7 9.22 33.45 1655503797.8174787
-0.1 -0.13 -2.04 -2.27 14.04 10.5 10.01 34.55 1655503797.8208928
-0.1 -0.13 -2.05 -2.28 14.47 11.78 9.46 35.71 1655503797.824142
-0.1 -0.13 -2.04 -2.27 13.18 11.05 10.13 34.36 1655503797.8275437
-0.1 -0.13 -2.04 -2.26 12.82 10.19 9.89 32.9 1655503797.830762
-0.1 -0.13 -2.04 -2.26 14.77 9.03 9.46 33.26 1655503797.8342109
-0.1 -0.13 -2.05 -2.27 13.37 8.79 9.22 31.37 1655503797.8377674
-0.09 -0.13 -2.04 -2.26 13.37 10.07 10.74 34.18 1655503797.8407788
-0.1 -0.13 -2.04 -2.27 14.4 9.83 9.58 33.81 1655503797.844092
-0.1 -0.13 -2.04 -2.27 12.76 10.44 8.97 32.17 1655503797.8473654
-0.1 -0.13 -2.04 -2.27 12.45 11.9 8.91 33.26 1655503797.8585835
-0.1 -0.13 -2.04 -2.27 11.72 8.61 9.64 29.97 1655503797.8590336
-0.1 -0.13 -2.04 -2.27 10.56 10.8 9.7 31.07 1655503797.85946
-0.1 -0.13 -2.04 -2.27 12.15 9.7 9.52 31.37 1655503797.8627362
-0.1 -0.16 -2.04 -2.29 10.99 10.31 9.52 30.82 1655503797.8640335
-0.1 -0.13 -2.04 -2.27 10.99 9.89 10.13 31.01 1655503797.8673651
-0.1 -0.13 -2.04 -2.28 11.29 10.25 8.61 30.15 1655503797.8706527
-0.1 -0.13 -2.04 -2.27 10.99 9.22 8.85 29.05 1655503797.8740442
-0.1 -0.13 -2.04 -2.27 9.52 9.34 8.91 27.77 1655503797.8773844
-0.1 -0.13 -2.04 -2.27 11.6 9.7 8.79 30.09 1655503797.880693
-0.1 -0.13 -2.03 -2.26 12.94 9.16 8.91 31.01 1655503797.8839219
-0.11 -0.13 -2.04 -2.27 12.02 10.01 9.22 31.25 1655503797.8872511
-0.11 -0.13 -2.04 -2.28 11.84 9.16 10.19 31.19 1655503797.8906324
-0.11 -0.13 -2.04 -2.27 11.96 9.09 9.83 30.88 1655503797.893853
-0.11 -0.13 -2.04 -2.27 10.99 10.13 8.97 30.09 1655503797.897364
-0.11 -0.13 -2.04 -2.28 10.5 9.22 8.91 28.63 1655503797.900565
-0.11 -0.13 -2.04 -2.28 12.63 9.58 9.77 31.98 1655503797.9099593
-0.1 -0.13 -2.04 -2.27 13.92 9.4 9.77 33.08 1655503797.9102712
-0.1 -0.13 -2.04 -2.27 13.06 9.7 9.28 32.04 1655503797.910601
-0.1 -0.13 -2.03 -2.27 13.67 9.09 8.73 31.49 1655503797.9136543
-0.1 -0.13 -2.03 -2.26 13.79 10.62 9.22 33.63 1655503797.9169946
-0.1 -0.13 -2.04 -2.27 13.43 10.31 9.77 33.51 1655503797.920545
-0.1 -0.13 -2.04 -2.27 15.2 11.23 10.68 37.11 1655503797.9236574
-0.1 -0.13 -2.04 -2.27 15.56 12.21 9.46 37.23 1655503797.9270601
-0.11 -0.13 -2.04 -2.28 14.83 11.41 10.93 37.17 1655503797.9302754
-0.1 -0.13 -2.04 -2.27 13.31 11.41 10.19 34.91 1655503797.9337535
-0.1 -0.13 -2.04 -2.27 14.71 11.11 10.19 36.01 1655503797.9368715
-0.1 -0.13 -2.04 -2.27 14.22 11.17 9.7 35.1 1655503797.9402096
-0.1 -0.13 -2.04 -2.27 14.77 10.19 9.03 34.0 1655503797.943557
-0.1 -0.12 -2.04 -2.26 14.16 8.79 8.97 31.92 1655503797.946969
-0.1 -0.13 -2.04 -2.27 14.95 9.46 10.56 34.97 1655503797.9501352
-0.1 -0.12 -2.04 -2.26 14.83 9.34 10.74 34.91 1655503797.9559977
-0.1 -0.13 -2.05 -2.27 13.67 8.97 9.77 32.41 1655503797.9567409
-0.1 -0.12 -2.04 -2.26 12.27 9.22 9.77 31.25 1655503797.9601002
-0.1 -0.13 -2.04 -2.27 14.16 9.34 9.03 32.53 1655503797.9635458
-0.1 -0.13 -2.04 -2.27 13.0 11.05 9.77 33.81 1655503797.9668539
-0.1 -0.13 -2.04 -2.27 13.24 9.16 9.77 32.17 1655503797.970073
-0.1 -0.13 -2.03 -2.25 11.23 10.56 9.46 31.25 1655503797.9736717
-0.1 -0.13 -2.04 -2.27 12.02 10.62 8.85 31.49 1655503797.9767227
-0.1 -0.13 -2.04 -2.27 13.12 10.62 8.36 32.1 1655503797.9799578
-0.1 -0.13 -2.04 -2.27 12.27 9.58 8.12 29.97 1655503797.983323
-0.1 -0.13 -2.04 -2.27 11.6 8.85 9.03 29.48 1655503797.9866056
-0.11 -0.13 -2.04 -2.27 13.37 9.03 8.36 30.76 1655503797.9900353
-0.1 -0.13 -2.04 -2.27 11.72 9.89 8.54 30.15 1655503797.9933598
-0.1 -0.13 -2.04 -2.27 12.08 10.07 9.09 31.25 1655503797.9966807
-0.1 -0.13 -2.04 -2.27 12.82 9.4 8.3 30.52 1655503798.000898
-0.1 -0.13 -2.05 -2.28 11.41 9.09 8.79 29.3 1655503798.009046
-0.11 -0.13 -2.04 -2.27 11.29 8.24 10.01 29.54 1655503798.0096793
-0.1 -0.13 -2.04 -2.27 12.57 8.48 9.34 30.4 1655503798.0102854
-0.11 -0.13 -2.04 -2.27 11.29 9.7 9.58 30.58 1655503798.0136857
-0.1 -0.13 -2.04 -2.26 11.41 9.7 10.25 31.37 1655503798.0165966
-0.1 -0.13 -2.04 -2.27 10.31 9.4 10.07 29.79 1655503798.0200324
-0.11 -0.13 -2.04 -2.27 11.72 10.19 10.19 32.1 1655503798.0233245
-0.1 -0.13 -2.03 -2.27 11.9 9.77 9.4 31.07 1655503798.026645
-0.1 -0.13 -2.04 -2.27 11.29 8.85 9.52 29.66 1655503798.030047
-0.1 -0.13 -2.04 -2.27 11.6 9.22 9.28 30.09 1655503798.0333438
-0.1 -0.13 -2.04 -2.27 12.33 10.5 9.22 32.04 1655503798.0367508
-0.1 -0.13 -2.04 -2.27 11.78 9.16 9.83 30.76 1655503798.040032
-0.11 -0.13 -2.04 -2.28 15.14 10.07 10.01 35.22 1655503798.0433493
-0.1 -0.13 -2.04 -2.27 15.01 9.64 9.4 34.06 1655503798.0465717
-0.1 -0.13 -2.04 -2.28 13.85 10.01 8.54 32.41 1655503798.0499454
-0.1 -0.13 -2.04 -2.27 15.08 9.77 9.09 33.94 1655503798.063773
-0.1 -0.13 -2.04 -2.27 14.83 8.3 9.09 32.23 1655503798.0648234
-0.1 -0.13 -2.04 -2.27 13.92 9.46 9.4 32.78 1655503798.0658503
-0.1 -0.13 -2.04 -2.27 12.76 9.7 9.22 31.68 1655503798.0668766
-0.1 -0.13 -2.04 -2.27 14.1 10.25 9.58 33.94 1655503798.071759
-0.1 -0.13 -2.04 -2.27 15.2 10.62 9.09 34.91 1655503798.0728211
-0.1 -0.13 -2.04 -2.28 14.34 10.31 9.22 33.87 1655503798.0738642
-0.1 -0.13 -2.04 -2.27 13.67 9.77 8.67 32.1 1655503798.0764835
-0.09 -0.13 -2.04 -2.26 13.92 9.22 9.46 32.59 1655503798.0798106
-0.1 -0.13 -2.05 -2.27 14.47 9.4 9.4 33.26 1655503798.0831878
-0.1 -0.13 -2.04 -2.27 13.55 9.4 9.7 32.65 1655503798.0864234
-0.1 -0.13 -2.05 -2.27 13.12 9.16 8.42 30.7 1655503798.0897498
-0.1 -0.13 -2.04 -2.27 11.72 9.52 8.48 29.72 1655503798.0930727
-0.09 -0.13 -2.04 -2.27 11.05 9.03 10.19 30.27 1655503798.0963879
-0.1 -0.13 -2.04 -2.27 9.46 8.3 9.64 27.4 1655503798.0996554
-0.1 -0.13 -2.03 -2.26 10.44 8.36 8.18 26.98 1655503798.103445
-0.1 -0.13 -2.04 -2.27 11.47 9.03 8.12 28.63 1655503798.1161637
-0.1 -0.13 -2.04 -2.27 11.17 9.22 8.67 29.05 1655503798.1172128
-0.1 -0.13 -2.04 -2.27 10.56 7.93 8.61 27.1 1655503798.122064
-0.1 -0.13 -2.04 -2.27 11.54 8.67 9.52 29.72 1655503798.123176
-0.1 -0.13 -2.04 -2.27 11.05 9.58 10.68 31.31 1655503798.1241317
-0.1 -0.13 -2.04 -2.27 12.76 8.06 9.16 29.97 1655503798.1248496
-0.1 -0.13 -2.04 -2.27 12.82 10.01 9.09 31.92 1655503798.1260707
-0.1 -0.13 -2.04 -2.27 11.47 9.89 9.95 31.31 1655503798.1293566
-0.1 -0.13 -2.03 -2.26 12.7 10.07 10.07 32.84 1655503798.1327012
-0.1 -0.13 -2.04 -2.27 11.9 9.09 10.19 31.19 1655503798.1360204
-0.1 -0.13 -2.04 -2.27 12.88 8.67 9.89 31.43 1655503798.1393187
-0.1 -0.13 -2.03 -2.27 13.67 10.13 9.4 33.2 1655503798.1425962
-0.11 -0.13 -2.04 -2.28 13.31 8.79 8.48 30.58 1655503798.1459022
-0.11 -0.13 -2.04 -2.27 11.78 10.38 9.46 31.62 1655503798.1494162
-0.1 -0.13 -2.04 -2.27 13.73 9.89 10.01 33.63 1655503798.1526427
-0.11 -0.13 -2.04 -2.28 13.12 11.66 8.97 33.75 1655503798.1639748
-0.1 -0.13 -2.04 -2.27 14.22 11.23 9.28 34.73 1655503798.1650405
-0.1 -0.13 -2.04 -2.27 15.01 10.31 9.4 34.73 1655503798.1660874
-0.1 -0.13 -2.04 -2.27 15.14 9.89 9.52 34.55 1655503798.171042
-0.1 -0.13 -2.04 -2.27 15.81 10.68 9.77 36.25 1655503798.1721208
-0.1 -0.13 -2.04 -2.27 15.08 9.7 10.5 35.28 1655503798.1731737
-0.11 -0.13 -2.03 -2.27 13.98 9.95 8.73 32.65 1655503798.175781
-0.1 -0.13 -2.04 -2.27 14.59 10.56 9.77 34.91 1655503798.1790438
-0.1 -0.13 -2.03 -2.26 15.01 11.17 10.38 36.56 1655503798.182444
-0.1 -0.13 -2.04 -2.28 15.08 10.99 9.09 35.16 1655503798.1855578
-0.1 -0.13 -2.04 -2.28 13.49 10.5 8.06 32.04 1655503798.18897
-0.1 -0.13 -2.05 -2.28 13.18 11.05 8.18 32.41 1655503798.1921036
-0.1 -0.13 -2.04 -2.27 13.67 10.13 7.75 31.56 1655503798.1957865
-0.1 -0.13 -2.04 -2.27 13.61 9.7 9.09 32.41 1655503798.199186
-0.1 -0.13 -2.04 -2.27 13.49 10.99 9.22 33.69 1655503798.203075
-0.1 -0.13 -2.04 -2.27 13.49 9.34 9.58 32.41 1655503798.2147985
-0.1 -0.13 -2.04 -2.27 12.88 10.25 10.07 33.2 1655503798.216963
-0.1 -0.13 -2.04 -2.26 10.74 9.4 9.03 29.17 1655503798.2218766
-0.1 -0.13 -2.04 -2.27 11.29 8.36 8.36 28.02 1655503798.2229404
-0.1 -0.13 -2.04 -2.27 11.84 8.97 7.87 28.69 1655503798.223962
-0.1 -0.13 -2.04 -2.27 11.29 9.83 8.61 29.72 1655503798.2246768
-0.1 -0.13 -2.04 -2.27 11.05 8.18 9.28 28.5 1655503798.2253847
-0.1 -0.13 -2.04 -2.27 10.19 9.58 9.22 28.99 1655503798.2288103
-0.1 -0.13 -2.03 -2.27 11.66 9.77 8.42 29.85 1655503798.2321355
-0.1 -0.12 -2.04 -2.26 11.23 8.36 9.09 28.69 1655503798.2354593
-0.1 -0.13 -2.04 -2.27 11.23 8.85 8.61 28.69 1655503798.2387996
-0.1 -0.13 -2.04 -2.27 10.31 8.73 8.73 27.77 1655503798.24208
-0.1 -0.13 -2.04 -2.27 12.27 9.58 9.64 31.49 1655503798.245419
-0.1 -0.13 -2.04 -2.27 11.72 8.48 9.83 30.03 1655503798.248704
-0.1 -0.13 -2.03 -2.26 12.39 8.42 9.4 30.21 1655503798.2520254
-0.11 -0.13 -2.04 -2.27 12.39 10.01 9.22 31.62 1655503798.2598453
