AX AY AZ AT GX GY GZ GT TS
-0.12 -0.16 -1.92 -2.2 -21.36 -12.45 -22.09 -55.91 1655503801.2997563
-0.12 -0.16 -1.9 -2.19 -14.4 -5.8 -19.78 -39.98 1655503801.303398
-0.14 -0.18 -1.9 -2.21 -4.64 -4.52 -16.72 -25.88 1655503801.3144307
-0.15 -0.2 -1.87 -2.22 1.4 0.79 -11.41 -9.22 1655503801.31551
-0.15 -0.19 -1.91 -2.24 9.03 8.54 -5.68 11.9 1655503801.3165405
-0.15 -0.19 -1.91 -2.25 17.03 12.39 0.67 30.09 1655503801.3216162
-0.16 -0.19 -1.91 -2.26 27.53 19.78 6.35 53.65 1655503801.3226893
-0.14 -0.19 -1.95 -2.28 33.2 23.8 11.9 68.91 1655503801.3237765
-0.12 -0.16 -1.94 -2.23 40.89 26.18 15.2 82.28 1655503801.326833
-0.12 -0.16 -1.99 -2.27 44.68 28.2 18.68 91.55 1655503801.33051
-0.11 -0.14 -1.99 -2.25 46.88 46.57 21.0 114.44 1655503801.3332944
-0.1 -0.13 -2.01 -2.24 48.83 32.9 21.85 103.58 1655503801.336825
-0.1 -0.13 -2.03 -2.27 51.76 34.24 21.91 107.91 1655503801.3399422
-0.1 -0.12 -2.03 -2.25 51.09 35.1 21.42 107.6 1655503801.3427246
-0.1 -0.12 -2.06 -2.27 52.0 34.97 21.61 108.58 1655503801.3462288
-0.09 -0.12 -2.06 -2.27 51.33 33.69 20.51 105.53 1655503801.352373
-0.1 -0.11 -2.07 -2.28 50.66 32.04 19.04 101.75 1655503801.3534858
-0.09 -0.12 -2.07 -2.27 49.32 30.15 17.52 96.98 1655503801.3645682
-0.09 -0.11 -2.07 -2.27 46.33 29.11 16.11 91.55 1655503801.3659613
-0.09 -0.11 -2.09 -2.29 44.62 28.5 15.44 88.56 1655503801.3671045
-0.1 -0.11 -2.09 -2.29 41.69 26.55 14.4 82.64 1655503801.3725212
-0.1 -0.11 -2.09 -2.29 36.19 25.39 14.28 75.87 1655503801.3737733
-0.1 -0.11 -2.1 -2.32 35.22 22.83 12.33 70.37 1655503801.3748538
-0.1 -0.11 -2.11 -2.32 30.76 21.55 10.99 63.29 1655503801.376602
-0.1 -0.1 -2.12 -2.32 27.47 17.09 9.58 54.14 1655503801.3793027
-0.1 -0.1 -2.12 -2.33 22.28 14.71 7.87 44.86 1655503801.3825297
-0.11 -0.11 -2.12 -2.33 15.5 12.51 8.79 36.8 1655503801.386035
-0.1 -0.1 -2.13 -2.33 11.41 9.34 7.81 28.56 1655503801.3891659
-0.1 -0.11 -2.12 -2.33 7.57 7.75 6.96 22.28 1655503801.3924465
-0.11 -0.11 -2.13 -2.35 2.26 3.6 7.39 13.24 1655503801.3958158
-0.11 -0.11 -2.12 -2.34 -2.2 -15.44 6.35 -11.29 1655503801.3993206
-0.11 -0.11 -2.11 -2.33 -6.77 -2.87 6.47 -3.17 1655503801.4028687
-0.11 -0.12 -2.11 -2.34 -12.76 -4.15 6.59 -10.31 1655503801.4144397
-0.12 -0.12 -2.09 -2.32 -15.56 -5.86 7.14 -14.28 1655503801.4155605
-0.12 -0.12 -2.08 -2.32 -17.76 -8.48 7.69 -18.55 1655503801.4166396
-0.12 -0.12 -2.06 -2.3 -19.59 -10.86 8.97 -21.48 1655503801.421838
-0.11 -0.12 -2.04 -2.27 -21.18 -9.58 8.54 -22.22 1655503801.4229655
-0.11 -0.12 -2.03 -2.26 -20.51 -10.62 9.34 -21.79 1655503801.4240594
-0.1 -0.12 -2.01 -2.24 -20.94 -9.7 8.54 -22.09 1655503801.425868
-0.1 -0.13 -2.0 -2.23 -20.63 -8.36 10.07 -18.92 1655503801.4296458
-0.1 -0.12 -1.98 -2.2 -13.85 -6.96 10.01 -10.8 1655503801.4328244
-0.09 -0.12 -1.98 -2.2 -10.62 -5.0 8.36 -7.26 1655503801.4359307
-0.1 -0.13 -1.97 -2.2 -8.54 -1.77 7.63 -2.69 1655503801.4393828
-0.1 -0.12 -1.96 -2.19 -3.23 -0.24 8.36 4.88 1655503801.4425676
-0.1 -0.13 -1.97 -2.2 0.0 3.36 9.7 13.06 1655503801.4458897
-0.1 -0.13 -1.96 -2.2 6.35 5.0 7.75 19.1 1655503801.4494927
-0.11 -0.14 -1.97 -2.21 8.12 6.77 8.67 23.56 1655503801.4541504
-0.1 -0.13 -1.97 -2.21 13.18 10.07 8.3 31.56 1655503801.4652197
-0.11 -0.13 -1.97 -2.21 17.76 12.21 8.3 38.27 1655503801.4662752
-0.1 -0.14 -1.98 -2.22 22.64 14.83 8.91 46.39 1655503801.467395
-0.1 -0.14 -1.98 -2.22 26.43 15.93 10.56 52.92 1655503801.4684787
-0.1 -0.13 -1.99 -2.23 28.14 18.62 10.19 56.95 1655503801.473519
-0.1 -0.13 -2.0 -2.23 30.94 21.18 9.58 61.71 1655503801.4745798
-0.1 -0.13 -2.0 -2.23 32.84 20.81 9.95 63.6 1655503801.475697
-0.1 -0.13 -2.01 -2.24 34.12 22.77 8.73 65.61 1655503801.479061
-0.11 -0.12 -2.02 -2.25 37.17 24.17 9.77 71.11 1655503801.4826088
-0.1 -0.12 -2.03 -2.25 38.39 23.01 9.77 71.17 1655503801.4864635
-0.1 -0.12 -2.04 -2.26 37.84 23.25 9.28 70.37 1655503801.489353
-0.1 -0.12 -2.05 -2.27 39.18 24.84 9.16 73.18 1655503801.4925523
-0.1 -0.12 -2.06 -2.29 38.57 24.29 9.64 72.51 1655503801.4956481
-0.1 -0.12 -2.06 -2.29 35.77 21.91 9.83 67.5 1655503801.4992297
-0.11 -0.12 -2.08 -2.31 34.24 20.69 8.54 63.48 1655503801.5029364
-0.1 -0.12 -2.08 -2.31 30.7 20.39 8.91 60.0 1655503801.514194
-0.1 -0.11 -2.09 -2.31 27.1 18.25 9.52 54.87 1655503801.5152807
-0.11 -0.12 -2.1 -2.32 24.48 16.72 8.24 49.44 1655503801.5163205
-0.11 -0.11 -2.1 -2.33 20.75 15.93 8.97 45.65 1655503801.5214868
-0.11 -0.11 -2.1 -2.32 16.48 12.27 10.01 38.76 1655503801.5225623
-0.11 -0.11 -2.11 -2.33 12.33 8.24 9.95 30.52 1655503801.523607
-0.11 -0.11 -2.1 -2.32 9.22 7.81 9.16 26.18 1655503801.525301
-0.11 -0.11 -2.09 -2.31 5.68 5.25 9.16 20.08 1655503801.528902
-0.11 -0.11 -2.09 -2.31 1.77 3.6 7.93 13.31 1655503801.532135
-0.11 -0.12 -2.08 -2.31 -0.37 1.28 10.01 10.93 1655503801.5352826
-0.1 -0.11 -2.07 -2.29 -3.48 -0.79 9.03 4.76 1655503801.538672
-0.11 -0.12 -2.06 -2.29 -3.91 -0.31 8.97 4.76 1655503801.5422513
-0.11 -0.12 -2.06 -2.29 -7.39 -0.79 9.4 1.22 1655503801.545583
-0.11 -0.12 -2.05 -2.28 -8.18 -0.73 8.48 -0.43 1655503801.5489285
-0.11 -0.12 -2.04 -2.27 -8.0 -3.36 9.77 -1.59 1655503801.5535207
-0.11 -0.12 -2.04 -2.27 -8.18 -2.2 9.09 -1.28 1655503801.5648186
-0.11 -0.15 -2.02 -2.28 -7.39 -2.62 8.67 -1.34 1655503801.5662103
-0.11 -0.13 -2.02 -2.26 -5.92 -1.46 9.03 1.65 1655503801.5673244
-0.1 -0.12 -2.01 -2.24 -4.46 0.24 8.42 4.21 1655503801.5684378
-0.11 -0.12 -2.01 -2.24 -2.56 1.28 8.54 7.26 1655503801.573825
-0.11 -0.12 -2.01 -2.24 -0.37 2.08 8.73 10.44 1655503801.5742197
-0.11 -0.13 -2.0 -2.24 0.73 3.11 9.7 13.55 1655503801.5748034
-0.11 -0.13 -1.99 -2.23 5.92 4.15 8.67 18.74 1655503801.5782287
-0.1 -0.13 -2.0 -2.23 7.26 6.59 8.97 22.83 1655503801.5814137
-0.1 -0.13 -2.0 -2.23 10.62 7.75 8.97 27.34 1655503801.5847335
-0.1 -0.13 -1.99 -2.23 13.67 9.34 9.58 32.59 1655503801.588082
-0.1 -0.13 -2.0 -2.23 30.88 10.99 10.44 52.31 1655503801.5914028
-0.1 -0.13 -2.0 -2.23 19.1 13.06 9.28 41.44 1655503801.5951085
-0.1 -0.13 -2.0 -2.23 22.34 15.69 9.4 47.42 1655503801.5984101
-0.1 -0.13 -2.01 -2.24 24.48 16.78 9.52 50.78 1655503801.6025047
-0.1 -0.13 -2.01 -2.24 25.09 17.76 9.34 52.19 1655503801.607649
-0.11 -0.13 -2.01 -2.25 26.92 16.85 8.48 52.25 1655503801.6163268
-0.1 -0.12 -2.02 -2.25 27.83 19.41 9.28 56.52 1655503801.616646
-0.11 -0.13 -2.03 -2.27 30.15 19.35 9.03 58.53 1655503801.6169534
-0.11 -0.13 -2.03 -2.27 31.31 18.68 8.54 58.53 1655503801.6193166
-0.1 -0.13 -2.05 -2.27 31.62 19.59 9.28 60.49 1655503801.621355
-0.1 -0.13 -2.05 -2.28 31.56 19.41 9.83 60.79 1655503801.6245592
-0.11 -0.12 -2.06 -2.29 28.81 20.08 9.03 57.92 1655503801.6278021
-0.11 -0.12 -2.07 -2.29 28.81 18.43 9.89 57.13 1655503801.6314359
-0.1 -0.12 -2.07 -2.3 27.04 16.66 9.34 53.04 1655503801.6347635
-0.11 -0.11 -2.08 -2.3 23.44 14.59 9.28 47.3 1655503801.6380439
-0.1 -0.12 -2.07 -2.3 20.69 15.2 8.48 44.37 1655503801.6419477
-0.11 -0.11 -2.08 -2.31 20.45 12.94 8.85 42.24 1655503801.644979
-0.11 -0.12 -2.09 -2.31 17.27 13.92 9.22 40.41 1655503801.6481597
-0.11 -0.12 -2.08 -2.31 13.31 8.91 9.4 31.62 1655503801.6515958
-0.11 -0.11 -2.08 -2.3 11.05 7.51 8.79 27.34 1655503801.656886
-0.1 -0.11 -2.08 -2.29 8.61 6.9 9.4 24.9 1655503801.657709
-0.11 -0.12 -2.08 -2.31 5.55 6.9 8.61 21.06 1655503801.6610184
-0.11 -0.12 -2.07 -2.3 4.52 3.48 10.07 18.07 1655503801.6643844
-0.11 -0.12 -2.07 -2.29 0.67 3.72 8.42 12.82 1655503801.6679761
-0.11 -0.12 -2.06 -2.28 0.73 3.72 9.16 13.61 1655503801.6714067
-0.11 -0.12 -2.06 -2.29 -0.49 2.62 10.19 12.33 1655503801.6747305
-0.1 -0.12 -2.05 -2.26 -0.92 1.16 10.13 10.38 1655503801.6780326
-0.1 -0.13 -2.04 -2.27 -0.79 2.2 9.83 11.23 1655503801.681334
-0.1 -0.12 -2.04 -2.27 0.18 1.22 8.91 10.31 1655503801.6846366
-0.1 -0.12 -2.03 -2.25 0.31 1.1 9.16 10.56 1655503801.687828
-0.1 -0.13 -2.03 -2.26 0.24 0.73 8.24 9.22 1655503801.6916192
-0.1 -0.12 -2.02 -2.24 0.73 2.2 9.83 12.76 1655503801.694714
-0.1 -0.13 -2.02 -2.25 3.54 3.3 8.54 15.38 1655503801.6981282
-0.11 -0.13 -2.02 -2.25 3.11 5.86 9.28 18.25 1655503801.7025115
-0.11 -0.13 -2.01 -2.25 4.15 6.1 9.7 19.96 1655503801.713968
-0.1 -0.13 -2.01 -2.24 9.46 7.2 10.19 26.86 1655503801.7150702
-0.11 -0.13 -2.0 -2.24 10.01 7.32 9.77 27.1 1655503801.7161102
-0.1 -0.13 -2.01 -2.24 11.17 7.63 7.75 26.55 1655503801.717136
-0.11 -0.12 -2.0 -2.23 13.0 8.73 9.22 30.94 1655503801.7222452
-0.1 -0.13 -2.01 -2.24 15.69 11.05 9.83 36.56 1655503801.7233326
-0.11 -0.13 -2.01 -2.25 17.46 11.29 9.09 37.84 1655503801.7243814
-0.1 -0.13 -2.01 -2.24 19.23 13.0 8.3 40.53 1655503801.7277608
-0.1 -0.13 -2.01 -2.24 20.69 15.01 8.67 44.37 1655503801.731174
-0.1 -0.12 -2.02 -2.24 22.89 17.27 7.93 48.1 1655503801.735009
-0.1 -0.12 -2.02 -2.25 23.25 16.36 8.0 47.61 1655503801.738013
-0.1 -0.12 -2.02 -2.25 23.93 0.98 8.67 33.57 1655503801.7412882
-0.11 -0.13 -2.04 -2.27 25.33 16.05 8.85 50.23 1655503801.7446454
-0.11 -0.13 -2.04 -2.27 24.66 16.54 9.09 50.29 1655503801.7476606
-0.1 -0.12 -2.04 -2.26 25.7 17.33 9.46 52.49 1655503801.752051
-0.1 -0.12 -2.05 -2.28 24.84 16.36 9.16 50.35 1655503801.7646255
-0.11 -0.12 -2.05 -2.27 23.86 16.54 8.61 49.01 1655503801.7659953
-0.11 -0.12 -2.06 -2.29 22.58 16.97 8.97 48.52 1655503801.76709
-0.11 -0.12 -2.06 -2.29 21.12 16.11 8.18 45.41 1655503801.7681363
-0.1 -0.12 -2.06 -2.28 19.78 15.44 9.34 44.56 1655503801.773516
-0.11 -0.12 -2.07 -2.29 17.27 14.34 9.83 41.44 1655503801.7745838
-0.1 -0.11 -2.07 -2.29 15.32 12.02 8.61 35.95 1655503801.7756424
-0.11 -0.12 -2.07 -2.29 13.18 10.13 8.91 32.23 1655503801.7774222
-0.11 -0.12 -2.07 -2.3 13.55 10.38 9.7 33.63 1655503801.7807112
-0.11 -0.12 -2.07 -2.29 11.11 7.75 9.22 28.08 1655503801.7840424
-0.11 -0.12 -2.06 -2.29 8.3 6.71 9.09 24.11 1655503801.787325
-0.11 -0.12 -2.07 -2.29 7.32 7.45 10.44 25.21 1655503801.790797
-0.1 -0.12 -2.09 -2.31 5.8 7.45 9.03 22.28 1655503801.794038
-0.11 -0.12 -2.06 -2.28 4.88 4.33 8.91 18.13 1655503801.797289
-0.11 -0.12 -2.05 -2.28 5.43 3.91 9.09 18.43 1655503801.8019016
-0.1 -0.12 -2.05 -2.27 3.23 3.72 10.19 17.15 1655503801.809413
-0.11 -0.12 -2.05 -2.28 2.69 5.0 9.58 17.27 1655503801.8098588
-0.11 -0.12 -2.04 -2.26 1.89 3.91 8.85 14.65 1655503801.8102841
-0.11 -0.12 -2.04 -2.27 3.48 4.58 8.79 16.85 1655503801.8135777
-0.11 -0.12 -2.03 -2.26 2.93 4.21 9.16 16.3 1655503801.8169508
-0.11 -0.12 -2.02 -2.25 3.85 3.66 8.3 15.81 1655503801.8203614
-0.1 -0.12 -2.03 -2.25 4.27 5.49 7.81 17.58 1655503801.8238382
-0.11 -0.13 -2.03 -2.26 3.42 5.68 8.85 17.94 1655503801.8273106
-0.1 -0.13 -2.02 -2.24 6.16 7.08 8.54 21.79 1655503801.8307922
-0.1 -0.13 -2.02 -2.25 8.67 7.32 7.93 23.93 1655503801.8339434
-0.1 -0.13 -2.02 -2.25 8.85 8.3 9.16 26.31 1655503801.8370981
-0.1 -0.09 -2.01 -2.21 9.46 8.0 8.54 26.0 1655503801.840398
-0.11 -0.13 -2.01 -2.25 12.02 10.38 9.4 31.8 1655503801.8438015
-0.1 -0.12 -2.02 -2.24 15.08 12.08 9.16 36.32 1655503801.847205
-0.1 -0.12 -2.02 -2.25 16.3 10.62 9.34 36.25 1655503801.8523958
-0.1 -0.13 -2.02 -2.25 16.17 11.78 9.58 37.54 1655503801.8536663
-0.11 -0.13 -2.02 -2.25 17.4 12.21 10.13 39.73 1655503801.8658168
-0.1 -0.12 -2.02 -2.25 20.51 12.94 10.38 43.82 1655503801.8668938
-0.11 -0.13 -2.02 -2.26 20.32 13.18 8.97 42.48 1655503801.868018
-0.1 -0.12 -2.04 -2.26 20.69 14.71 9.7 45.1 1655503801.8690965
-0.11 -0.13 -2.03 -2.27 22.46 15.81 10.31 48.58 1655503801.8741515
-0.1 -0.12 -2.04 -2.26 22.71 15.81 10.07 48.58 1655503801.8752863
-0.1 -0.13 -2.04 -2.27 22.22 15.87 9.52 47.61 1655503801.876884
-0.11 -0.12 -2.05 -2.27 20.08 15.63 8.91 44.62 1655503801.8802302
-0.11 -0.12 -2.05 -2.28 20.26 14.59 7.81 42.66 1655503801.8835673
-0.11 -0.12 -2.05 -2.28 22.64 15.63 8.91 47.18 1655503801.8866825
-0.11 -0.12 -2.05 -2.28 20.69 15.38 9.95 46.02 1655503801.8903098
-0.11 -0.12 -2.06 -2.3 18.92 14.77 9.89 43.58 1655503801.8935704
-0.1 -0.12 -2.06 -2.28 16.78 13.18 9.7 39.67 1655503801.8969028
-0.11 -0.12 -2.06 -2.28 15.69 12.63 9.7 38.02 1655503801.900222
-0.1 -0.13 -2.09 -2.32 14.47 13.73 9.83 38.02 1655503801.913409
-0.1 -0.12 -2.06 -2.29 13.67 11.23 9.64 34.55 1655503801.9145205
-0.11 -0.12 -2.06 -2.28 12.7 10.86 10.19 33.75 1655503801.915639
-0.11 -0.12 -2.06 -2.29 11.6 10.31 9.77 31.68 1655503801.9168243
-0.11 -0.12 -2.06 -2.29 8.06 6.9 9.95 24.9 1655503801.9220843
-0.1 -0.12 -2.06 -2.28 8.73 5.98 9.77 24.48 1655503801.9231539
-0.11 -0.12 -2.06 -2.29 8.85 4.7 8.85 22.4 1655503801.9241753
-0.11 -0.12 -2.04 -2.27 6.41 6.1 9.83 22.34 1655503801.9267566
-0.11 -0.12 -2.05 -2.28 5.37 4.88 9.28 19.53 1655503801.929967
-0.11 -0.13 -2.05 -2.29 5.13 4.64 8.73 18.49 1655503801.9341586
-0.11 -0.13 -2.04 -2.27 4.33 4.39 9.22 17.94 1655503801.9367514
-0.1 -0.12 -2.04 -2.26 5.37 7.02 8.73 21.12 1655503801.9398875
-0.11 -0.13 -2.04 -2.27 5.25 5.37 9.7 20.32 1655503801.9432817
-0.1 -0.12 -2.01 -2.23 7.02 4.76 8.67 20.45 1655503801.9465451
-0.1 -0.12 -2.02 -2.24 5.92 6.41 10.13 22.46 1655503801.9499023
-0.1 -0.12 -2.03 -2.25 7.69 5.68 8.97 22.34 1655503801.9531171
-0.11 -0.12 -2.03 -2.25 7.57 6.77 8.54 22.89 1655503801.9634194
-0.1 -0.12 -2.02 -2.24 8.48 7.26 9.28 25.02 1655503801.9637969
-0.11 -0.12 -2.02 -2.24 9.52 8.85 10.38 28.75 1655503801.9642258
-0.1 -0.13 -2.02 -2.25 10.8 8.97 10.38 30.15 1655503801.9679992
-0.1 -0.12 -2.02 -2.25 11.29 10.99 9.22 31.49 1655503801.969323
-0.11 -0.16 -2.02 -2.28 13.67 10.62 8.85 33.14 1655503801.9727514
-0.1 -0.12 -2.03 -2.25 16.17 11.47 9.89 37.54 1655503801.9759512
-0.11 -0.12 -2.03 -2.25 16.3 12.57 9.64 38.51 1655503801.9794066
-0.1 -0.12 -2.02 -2.25 17.27 13.18 9.4 39.86 1655503801.9827936
-0.11 -0.12 -2.02 -2.25 18.55 13.37 8.18 40.1 1655503801.9863746
-0.1 -0.12 -2.03 -2.26 19.04 12.45 9.22 40.71 1655503801.9895048
-0.1 -0.12 -2.04 -2.26 19.9 11.72 8.48 40.1 1655503801.9927554
-0.11 -0.12 -2.04 -2.27 19.47 13.24 9.52 42.24 1655503801.9964247
-0.11 -0.12 -2.04 -2.27 19.29 14.1 9.64 43.03 1655503801.9997427
-0.1 -0.12 -2.04 -2.27 20.39 12.94 9.52 42.85 1655503802.011794
-0.1 -0.12 -2.04 -2.27 19.23 13.79 10.19 43.21 1655503802.0128672
-0.11 -0.12 -2.04 -2.27 20.51 14.28 9.16 43.95 1655503802.0139043
-0.1 -0.12 -2.04 -2.27 18.68 15.5 9.64 43.82 1655503802.0150027
-0.11 -0.12 -2.05 -2.28 17.15 12.63 9.28 39.06 1655503802.0200875
-0.11 -0.12 -2.06 -2.29 17.76 13.73 8.97 40.47 1655503802.021151
-0.11 -0.12 -2.06 -2.28 15.69 10.31 9.03 35.03 1655503802.022732
-0.11 -0.12 -2.06 -2.29 14.77 9.7 10.62 35.1 1655503802.02605
-0.11 -0.12 -2.06 -2.29 14.59 11.29 9.16 35.03 1655503802.0302815
-0.1 -0.12 -2.06 -2.28 13.92 10.99 9.89 34.79 1655503802.0327852
-0.11 -0.12 -2.06 -2.29 12.21 9.77 8.42 30.4 1655503802.0360584
-0.11 -0.12 -2.06 -2.29 11.78 10.5 9.03 31.31 1655503802.039485
-0.11 -0.12 -2.05 -2.27 11.9 7.81 9.64 29.36 1655503802.0426621
-0.1 -0.12 -2.05 -2.28 8.91 9.28 9.95 28.14 1655503802.0463328
-0.11 -0.12 -2.05 -2.28 8.12 8.61 9.46 26.18 1655503802.0495627
-0.11 -0.12 -2.05 -2.29 7.2 7.32 9.7 24.23 1655503802.0532463
-0.1 -0.12 -2.05 -2.27 6.71 6.9 8.91 22.52 1655503802.0661378
-0.11 -0.13 -2.05 -2.28 7.63 7.32 9.34 24.29 1655503802.0672016
-0.11 -0.12 -2.04 -2.28 7.57 6.35 9.83 23.74 1655503802.0682242
-0.11 -0.12 -2.04 -2.27 8.79 6.84 9.22 24.84 1655503802.073402
-0.1 -0.12 -2.03 -2.26 7.26 6.77 9.77 23.8 1655503802.074419
-0.11 -0.13 -2.03 -2.26 7.14 7.32 8.67 23.13 1655503802.0754936
-0.11 -0.13 -2.03 -2.27 7.69 8.18 8.73 24.6 1655503802.0764952
-0.11 -0.12 -2.03 -2.26 9.22 8.0 8.61 25.82 1655503802.0796518
-0.12 -0.07 -1.93 -2.12 8.97 12.94 8.85 30.76 1655503802.083076
-0.12 0.01 -1.97 -2.09 10.07 21.36 7.02 38.45 1655503802.0862007
-0.33 0.06 -1.7 -1.98 24.05 26.37 -0.31 50.11 1655503802.0891435
-0.46 -0.07 -1.58 -2.1 38.15 59.39 -0.43 97.11 1655503802.0924344
-0.52 -0.09 -1.77 -2.39 76.11 60.18 -0.98 135.31 1655503802.0956967
-0.65 -0.11 -1.9 -2.66 92.77 56.52 -1.83 147.46 1655503802.0990906
-0.73 -0.06 -2.07 -2.87 110.17 42.79 -0.31 152.65 1655503802.1035614
-0.72 -0.08 -2.01 -2.8 113.65 40.95 -2.87 151.73 1655503802.1151304
-0.39 -0.2 -2.05 -2.64 116.88 44.98 12.63 174.5 1655503802.1162305
0.27 -0.27 -2.5 -2.5 110.66 -16.97 12.94 106.63 1655503802.1173217
0.79 -0.46 -1.92 -1.6 107.18 -27.95 37.78 117.0 1655503802.1184192
1.02 -0.49 -1.61 -1.08 92.47 -2.56 60.61 150.51 1655503802.1235719
0.85 -0.2 -2.26 -1.62 66.1 11.23 56.76 134.09 1655503802.1246622
0.57 -0.3 -2.43 -2.16 35.4 36.5 47.79 119.69 1655503802.125716
0.49 -0.15 -2.69 -2.35 -4.7 28.02 55.18 78.49 1655503802.1289916
0.23 -0.29 -3.11 -3.17 -41.26 14.34 105.53 78.61 1655503802.1325734
0.15 -0.13 -2.0 -1.98 -62.93 19.41 138.24 94.73 1655503802.1357672
0.04 -0.29 -2.3 -2.54 -49.68 10.68 155.7 116.7 1655503802.139018
-0.02 -0.86 -1.67 -2.54 -17.64 3.05 197.57 182.98 1655503802.1422708
0.24 0.02 -2.34 -2.08 -0.18 2.08 205.93 207.82 1655503802.1455677
0.07 -0.59 -2.11 -2.63 7.45 -30.27 195.98 173.16 1655503802.149207
-0.08 -0.17 -2.44 -2.69 1.04 -7.63 199.22 192.63 1655503802.1527479
-0.07 0.13 -1.96 -1.91 -48.65 -1.1 190.86 141.11 1655503802.1610742
-0.05 0.11 -2.75 -2.69 -46.45 -47.61 165.16 71.11 1655503802.1614454
-0.2 -0.07 -1.8 -2.07 -89.84 -11.6 150.09 48.65 1655503802.1618133
-0.27 0.02 -2.2 -2.45 -61.4 -64.27 148.38 22.71 1655503802.164917
-0.19 -0.02 -1.83 -2.05 -126.04 -1.04 134.77 7.69 1655503802.1682646
-0.34 -0.2 -2.28 -2.82 -76.6 -53.83 130.98 0.55 1655503802.1715536
-0.43 -0.03 -1.66 -2.13 -89.23 -48.46 122.68 -15.01 1655503802.1749375
-0.41 -0.08 -2.28 -2.78 -88.81 -56.09 118.59 -26.31 1655503802.1783924
-0.38 -0.06 -1.97 -2.41 -90.09 -62.93 118.9 -34.12 1655503802.1817665
-0.42 -0.12 -2.03 -2.57 -88.99 -40.47 108.03 -21.42 1655503802.1849892
-0.44 -0.02 -1.54 -2.0 -84.66 -48.71 102.42 -30.94 1655503802.1887274
-0.32 0.06 -2.3 -2.56 -79.9 -32.29 97.11 -15.08 1655503802.1920788
-0.35 0.05 -1.94 -2.24 -62.01 -60.06 86.43 -35.64 1655503802.1954484
-0.35 0.05 -1.72 -2.03 -73.67 -31.01 72.57 -32.1 1655503802.1986227
-0.27 0.05 -1.92 -2.14 -48.58 -25.45 57.86 -16.17 1655503802.2029202
-0.21 0.06 -1.88 -2.03 -51.7 -23.68 38.21 -37.17 1655503802.2142332
-0.19 0.06 -1.93 -2.07 -42.54 -16.24 22.89 -35.89 1655503802.2153943
-0.13 0.05 -1.91 -1.98 -31.13 -14.53 12.15 -33.51 1655503802.2164843
-0.06 0.05 -1.88 -1.88 -24.17 -8.67 6.23 -26.61 1655503802.2175436
-0.01 -0.07 -1.9 -1.98 -14.77 -2.44 -3.36 -20.57 1655503802.2228763
-0.01 -0.07 -1.92 -2.01 -6.16 0.98 -11.54 -16.72 1655503802.224002
-0.02 -0.05 -1.91 -1.98 5.55 0.98 -21.79 -15.26 1655503802.2251225
-0.04 -0.04 -1.92 -2.0 15.44 2.99 -34.67 -16.24 1655503802.2287877
-0.08 -0.08 -1.92 -2.08 24.9 3.6 -45.65 -17.15 1655503802.232196
-0.09 -0.11 -1.9 -2.09 33.14 9.22 -54.99 -12.63 1655503802.2351866
-0.09 -0.14 -1.94 -2.16 38.27 17.94 -57.56 -1.34 1655503802.2389264
-0.1 -0.15 -2.0 -2.24 43.7 20.02 -58.59 5.13 1655503802.2421942
-0.12 -0.18 -1.91 -2.21 46.69 33.14 -54.32 25.51 1655503802.2456408
0.08 0.02 -1.41 -1.3 40.04 66.65 -47.24 59.45 1655503802.248956
0.05 -0.03 -2.1 -2.08 54.02 68.54 -44.01 78.55 1655503802.252858
0.03 0.03 -2.21 -2.16 66.71 59.63 -50.17 76.17 1655503802.263963
-0.02 0.04 -1.72 -1.7 78.98 62.44 -67.08 74.34 1655503802.265048
-0.04 -0.01 -1.92 -1.97 80.38 56.64 -79.16 57.86 1655503802.2671714
-0.03 -0.03 -2.11 -2.18 88.32 54.99 -83.25 60.06 1655503802.272301
-0.06 -0.05 -1.97 -2.08 85.33 69.52 -86.36 68.48 1655503802.2733994
-0.08 -0.07 -2.22 -2.36 87.71 72.57 -86.85 73.43 1655503802.2745223
-0.11 -0.1 -1.96 -2.16 90.88 68.6 -89.78 69.7 1655503802.2756655
-0.12 -0.18 -2.06 -2.36 90.82 67.57 -91.55 66.83 1655503802.2787943
-0.13 -0.18 -2.18 -2.49 92.41 58.53 -89.54 61.4 1655503802.2825472
-0.16 -0.17 -1.99 -2.32 89.36 61.77 -84.05 67.08 1655503802.286496
-0.16 -0.25 -2.26 -2.67 91.25 51.7 -81.6 61.34 1655503802.2887192
-0.16 -0.27 -2.07 -2.5 84.78 42.72 -77.7 49.8 1655503802.2917695
-0.2 -0.3 -2.16 -2.66 75.32 45.47 -70.07 50.72 1655503802.295163
-0.21 -0.27 -2.23 -2.7 69.21 35.83 -57.25 47.79 1655503802.2987018
-0.23 -0.24 -2.14 -2.61 60.3 33.81 -42.36 51.76 1655503802.3026423
-0.25 -0.29 -2.24 -2.78 31.86 26.55 -28.5 29.91 1655503802.3137274
-0.24 -0.26 -2.22 -2.72 37.41 20.08 -15.56 41.93 1655503802.314817
-0.25 -0.28 -2.19 -2.71 23.99 18.68 -4.46 38.21 1655503802.3159418
-0.25 -0.28 -2.23 -2.75 16.54 11.54 8.12 36.19 1655503802.316994
-0.2 -0.23 -2.18 -2.61 3.54 6.47 18.25 28.26 1655503802.3220394
